From	To	Probability	Strength
AKT.P.P	AKT.P.P	0	0.341159222222223
AKT.P.P	PIP3	0.0358888888888889	0.00496688888888889
AKT.P.P	dummy1	0.000777777777777778	5.44444444444444e-06
AKT.P.P	ERK.P	0.001	4.53333333333333e-05
AKT.P.P	ErbB2.P	0.000555555555555556	1.87777777777778e-05
AKT.P.P	RAF.P	0.00144444444444444	-0.000100333333333333
AKT.P.P	SHC.P	0.00155555555555556	-0.000101222222222222
AKT.P.P	MEK.P	0.00111111111111111	5.94444444444444e-05
AKT.P.P	PIP2	0.00111111111111111	-7.58888888888889e-05
AKT.P.P	ErbB4.P	0.216	0.0380566666666666
AKT.P.P	AKT.P	0.760888888888889	0.158939333333333
AKT.P.P	ErbB1.P	0.000444444444444444	2.45555555555556e-05
AKT.P.P	dummy2	0.000444444444444444	-6e-06
AKT.P.P	SOS.P	0.671888888888889	0.139441
AKT.P.P	Gab1.P	0.000777777777777778	5.35555555555556e-05
AKT.P.P	MEK.P.P	0.00133333333333333	-4.1e-05
AKT.P.P	Ras:GTP	0.000333333333333333	-2.33333333333333e-06
AKT.P.P	dummy3	0.00377777777777778	-0.000423777777777778
AKT.P.P	ERK.P.P	0.003	0.000249888888888889
AKT.P.P	ErbB3.P	0.0168888888888889	0.00207211111111111
PIP3	AKT.P.P	0.992666666666667	0.251143777777778
PIP3	PIP3	0	0.594008333333333
PIP3	dummy1	0.002	-0.000125777777777778
PIP3	ERK.P	0.00911111111111111	0.00104544444444444
PIP3	ErbB2.P	0.000888888888888889	-9e-06
PIP3	RAF.P	0.000444444444444444	-9.11111111111111e-06
PIP3	SHC.P	0.00344444444444444	-0.000283555555555556
PIP3	MEK.P	0.000666666666666667	-2.33333333333333e-05
PIP3	PIP2	0.001	-2.8e-05
PIP3	ErbB4.P	0.00111111111111111	0.000118666666666667
PIP3	AKT.P	0.000666666666666667	-1.92222222222222e-05
PIP3	ErbB1.P	0.000555555555555556	-1.66666666666667e-05
PIP3	dummy2	0.000888888888888889	-4.44444444444444e-06
PIP3	SOS.P	0.000555555555555556	2.5e-05
PIP3	Gab1.P	0.000888888888888889	-2.54444444444444e-05
PIP3	MEK.P.P	0.000222222222222222	-7e-06
PIP3	Ras:GTP	0.00144444444444444	-0.000102888888888889
PIP3	dummy3	0.000777777777777778	-5.04444444444444e-05
PIP3	ERK.P.P	0.000222222222222222	-4.11111111111111e-06
PIP3	ErbB3.P	1	0.371015333333334
dummy1	AKT.P.P	0.001	2.74444444444444e-05
dummy1	PIP3	0.000888888888888889	5.58888888888889e-05
dummy1	dummy1	0	0.00291033333333334
dummy1	ERK.P	0.000777777777777778	-2.61111111111111e-05
dummy1	ErbB2.P	0.000444444444444444	-1.71111111111111e-05
dummy1	RAF.P	0.0253333333333333	-0.00252788888888889
dummy1	SHC.P	0.000888888888888889	-1.68888888888889e-05
dummy1	MEK.P	0.000555555555555556	1.37777777777778e-05
dummy1	PIP2	0.000777777777777778	4.77777777777778e-06
dummy1	ErbB4.P	0.000777777777777778	-3.72222222222222e-05
dummy1	AKT.P	0.000555555555555556	-2.4e-05
dummy1	ErbB1.P	0.000555555555555556	-1.27777777777778e-05
dummy1	dummy2	0.00944444444444444	0.00123755555555556
dummy1	SOS.P	0.000333333333333333	4.44444444444444e-07
dummy1	Gab1.P	0.001	3.02222222222222e-05
dummy1	MEK.P.P	0.000333333333333333	-4.44444444444444e-06
