"AKT.P.P" "PIP3" "dummy1" "ERK.P" "ErbB2.P" "RAF.P" "SHC.P" "MEK.P" "PIP2" "ErbB4.P" "AKT.P" "ErbB1.P" "dummy2" "SOS.P" "Gab1.P" "MEK.P.P" "Ras:GTP" "dummy3" "ERK.P.P" "ErbB3.P"
"AKT.P.P" 0 0.992222222222222 0.001 0.0211111111111111 0.00433333333333333 0.000666666666666667 0.000777777777777778 0.00122222222222222 0.000444444444444444 0.00233333333333333 0.855 0.00455555555555556 0.001 0.00111111111111111 0.0161111111111111 0.0247777777777778 0.00566666666666667 0.00155555555555556 0.00344444444444444 0.00466666666666667
"PIP3" 0.0373333333333333 0 0.000444444444444444 0.00266666666666667 0.00111111111111111 0.00111111111111111 0.000444444444444444 0.000111111111111111 0.00122222222222222 0.00111111111111111 0.0102222222222222 0.000888888888888889 0.000888888888888889 0.00188888888888889 0.000666666666666667 0.00111111111111111 0.000888888888888889 0.00266666666666667 0.000555555555555556 0.0121111111111111
"dummy1" 0.000555555555555556 0.000777777777777778 0 0.000777777777777778 0.001 0.000777777777777778 0.000777777777777778 0.000555555555555556 0.000333333333333333 0.00111111111111111 0.000888888888888889 0.00111111111111111 0.00111111111111111 0.000222222222222222 0.00133333333333333 0.000666666666666667 0.000666666666666667 0.000666666666666667 0.001 0.000888888888888889
"ERK.P" 0.00188888888888889 0.00855555555555556 0.000444444444444444 0 0.000888888888888889 0.00477777777777778 0.00111111111111111 0.000333333333333333 0.00111111111111111 0.000555555555555556 0.00366666666666667 0.001 0.000777777777777778 0.0207777777777778 0.002 0.000777777777777778 0.001 0.000666666666666667 0.000444444444444444 0.00188888888888889
"ErbB2.P" 0.001 0.000444444444444444 0.00122222222222222 0.000555555555555556 0 0.00155555555555556 0.000555555555555556 0.00422222222222222 0.000888888888888889 0.0396666666666667 0.00166666666666667 0.00288888888888889 0.000333333333333333 0.000444444444444444 0.004 0.001 0.135666666666667 0.000777777777777778 0.00988888888888889 0.00122222222222222
"RAF.P" 0.00144444444444444 0.001 0.0232222222222222 0.00111111111111111 0.000555555555555556 0 0.00144444444444444 0.000333333333333333 0.000555555555555556 0.00122222222222222 0.000333333333333333 0.000444444444444444 0.00111111111111111 0.000555555555555556 0.000555555555555556 0.000777777777777778 0.00166666666666667 0.00777777777777778 0.000555555555555556 0.000666666666666667
"SHC.P" 0.002 0.00344444444444444 0.000666666666666667 0.00133333333333333 0.00677777777777778 0.000888888888888889 0 0.00122222222222222 0.000777777777777778 0.000888888888888889 0.000444444444444444 0.000333333333333333 0.000555555555555556 0.00544444444444444 0.00177777777777778 0.00133333333333333 0.993222222222222 0.0108888888888889 0.000777777777777778 0.00233333333333333
"MEK.P" 0.000666666666666667 0.00111111111111111 0.000777777777777778 0.037 0.001 0.00111111111111111 0.000444444444444444 0 0.000444444444444444 0.00822222222222222 0.00333333333333333 0.001 0.000777777777777778 0.000777777777777778 0.000777777777777778 0.000777777777777778 0.00133333333333333 0.000666666666666667 0.024 0.00111111111111111
"PIP2" 0.000666666666666667 0.000888888888888889 0.000555555555555556 0.00222222222222222 0.000777777777777778 0.00144444444444444 0.00111111111111111 0.0164444444444444 0 0.000555555555555556 0.000555555555555556 0.00233333333333333 0.00111111111111111 0.000555555555555556 0.0212222222222222 0.000888888888888889 0.00122222222222222 0.000777777777777778 0.003 0.001
"ErbB4.P" 0.221333333333333 0.00144444444444444 0.000666666666666667 0.00311111111111111 0.00177777777777778 0.00111111111111111 0.00222222222222222 0.00311111111111111 0.000222222222222222 0 0.117888888888889 0.00111111111111111 0.000777777777777778 0.0158888888888889 0.00144444444444444 0.000444444444444444 0.00144444444444444 0.000444444444444444 0.0138888888888889 0.00122222222222222
